sentence1,sentence2,score
头上插满茱萸只少我一人。,茱萸插帽几人同,0.0
头上插满茱萸只少我一人。,遍插茱萸偏我少,0.0
头上插满茱萸只少我一人。,茱萸插遍知人少,0.0
头上插满茱萸只少我一人。,遍插茱萸少一人,1.0
君子的气量没有极限。,君子量不极,1.0
君子的气量没有极限。,君子不可及,0.0
君子的气量没有极限。,思君情不极,0.0
君子的气量没有极限。,知君思不常,0.0
社会风气良好，人们互相友善，关系融洽。,胶漆当时朋义合,0.0
社会风气良好，人们互相友善，关系融洽。,乱离朋友异胶漆,0.0
社会风气良好，人们互相友善，关系融洽。,胶漆频忘是友生,0.0
社会风气良好，人们互相友善，关系融洽。,天下朋友皆胶漆,1.0
这就好像楚汉相争时的情况一样，双方翻来覆去，胜负不见分晓。,颇似楚汉时，翻覆无定止。,1.0
这就好像楚汉相争时的情况一样，双方翻来覆去，胜负不见分晓。,涛落乃无常，翻为蝼蚁制。,0.0
这就好像楚汉相争时的情况一样，双方翻来覆去，胜负不见分晓。,云萍无定踪，如何不愁妾。,0.0
这就好像楚汉相争时的情况一样，双方翻来覆去，胜负不见分晓。,何言斯物变，翻覆似辽东。,0.0
您进入幕府，被委以重任，奉命赴执法者之任。,绶绾黄金印，旌麾翠羽旗。,0.0
您进入幕府，被委以重任，奉命赴执法者之任。,荐绾藩侯绂，连驱使者轺。,0.0
您进入幕府，被委以重任，奉命赴执法者之任。,墨绶绾铜章，还乘下濑航。,0.0
您进入幕府，被委以重任，奉命赴执法者之任。,入幕绾银绶，乘轺兼铁冠。,1.0
琐屑的俗事看得太重。,失入斗筲群,0.0
琐屑的俗事看得太重。,量多诮斗筲,0.0
琐屑的俗事看得太重。,微材愧斗筲,0.0
琐屑的俗事看得太重。,锁屑剧斗筲,1.0
为什么我织出来的是细白的丝绢。,织缣还织素,0.0
为什么我织出来的是细白的丝绢。,如何纨绮辈,0.0
为什么我织出来的是细白的丝绢。,如何织纨素,1.0
为什么我织出来的是细白的丝绢。,织妾齐纨素,0.0
我悟到洞庭波兮木叶下的诗情。,洞庭波正添,0.0
我悟到洞庭波兮木叶下的诗情。,便到洞庭波,0.0
我悟到洞庭波兮木叶下的诗情。,自觉洞庭波,1.0
我悟到洞庭波兮木叶下的诗情。,春水洞庭波,0.0
香炉峰在阳光的照射下生起紫色烟霞。,香炉峰色紫生烟,0.0
香炉峰在阳光的照射下生起紫色烟霞。,也似香炉生紫烟,0.0
香炉峰在阳光的照射下生起紫色烟霞。,日出香炉生紫烟,0.0
香炉峰在阳光的照射下生起紫色烟霞。,日照香炉生紫烟,1.0
对于自己即将远行更是犹豫徘徊和悲痛。,出门知路难,0.0
对于自己即将远行更是犹豫徘徊和悲痛。,出门移步难,0.0
对于自己即将远行更是犹豫徘徊和悲痛。,迟回出门难,1.0
对于自己即将远行更是犹豫徘徊和悲痛。,渐觉出门难,0.0
我这洛阳的行子空自叹息。,行逢落花长叹息,0.0
我这洛阳的行子空自叹息。,洛阳年少空流涕,0.0
我这洛阳的行子空自叹息。,此日经行空叹息,0.0
我这洛阳的行子空自叹息。,洛阳行子空叹息,1.0
水池中的水之所以发出绿光。,中池所以绿,1.0
水池中的水之所以发出绿光。,池上新荷绿,0.0
水池中的水之所以发出绿光。,宋亭池水绿,0.0
水池中的水之所以发出绿光。,绿蒲生中池,0.0
月光先已照上高高城关。,为上关城楼,0.0
月光先已照上高高城关。,城城建火楼,0.0
月光先已照上高高城关。,先照关城楼,1.0
月光先已照上高高城关。,北照辽阳城,0.0
窗外竹子的影子还在书桌上摇摆。,窗竹影摇书案上,1.0
窗外竹子的影子还在书桌上摇摆。,月移竹影上窗纱,0.0
窗外竹子的影子还在书桌上摇摆。,窗斜竹影摊书坐,0.0
窗外竹子的影子还在书桌上摇摆。,风摇竹影书签乱,0.0
带着一条条白藤交叉编成的书箱，里面是短小整齐的文稿，有如梵夹。,文锦荐柈风字研，綵绳穿夹梵书经。,0.0
带着一条条白藤交叉编成的书箱，里面是短小整齐的文稿，有如梵夹。,滉白新笺卷线棱，刮青纤竹缠红藤。,0.0
带着一条条白藤交叉编成的书箱，里面是短小整齐的文稿，有如梵夹。,白藤交穿织书笈，短策齐裁如梵夹。,1.0
带着一条条白藤交叉编成的书箱，里面是短小整齐的文稿，有如梵夹。,短披樵褐形如鹤，长把农书手欲龟。,0.0
突然想到与你同在江西之时，同宿僧寺，同桌而餐，虽清贫但惬意无穷。,忽忆僧床同野饭,1.0
